日期(YYYYMMDD),時間(HHMMSS),緯度(度),經度(度),高度(M),衛星等級,衛星數,速度(Knots),方向,平均精度(PDOP)
20090812,181919,30.203375,120.216263,20.0,1,6,3.9,179.0,2.1
20090812,181920,30.203365,120.216263,20.0,1,8,3.7,172.3,1.3
20090812,181921,30.203354,120.216270,20.0,1,8,4.0,166.9,1.3
20090812,181922,30.203346,120.216270,20.0,1,7,3.5,163.0,2.0
20090812,181923,30.203337,120.216270,20.0,1,7,3.4,179.6,2.0
20090812,181924,30.203331,120.216270,20.0,1,7,1.5,181.9,2.0
20090812,181925,30.203331,120.216270,20.0,1,7,0.1,239.9,2.0
20090812,181926,30.203331,120.216270,20.5,1,8,0.6,352.1,1.3
20090812,181927,30.203331,120.216278,20.5,1,7,0.3,227.2,2.0
20090812,181928,30.203331,120.216270,20.5,1,7,0.3,202.7,2.0
20090812,181929,30.203329,120.216270,20.5,1,8,0.1,9.0,1.3
20090812,181930,30.203329,120.216270,20.5,1,7,0.4,191.2,2.0
20090812,181931,30.203325,120.216270,20.5,1,8,1.1,184.3,1.3
20090812,181932,30.203321,120.216270,21.0,1,8,1.6,182.5,1.3
20090812,181933,30.203318,120.216270,21.0,1,8,1.1,183.5,1.3
20090812,181934,30.203318,120.216270,21.0,1,7,0.5,203.1,2.0
20090812,181935,30.203318,120.216270,21.0,1,7,0.3,218.9,2.0
20090812,181936,30.203318,120.216270,21.0,1,7,0.3,205.3,2.0
20090812,181937,30.203318,120.216270,21.0,1,7,0.7,187.9,2.0
20090812,181938,30.203314,120.216270,21.0,1,7,1.1,178.5,2.0
20090812,181939,30.203314,120.216270,21.0,1,7,0.7,193.2,2.0
20090812,181940,30.203312,120.216270,21.0,1,7,0.2,328.3,2.0
20090812,181941,30.203312,120.216270,20.5,1,6,0.1,256.8,2.1
20090812,181942,30.203312,120.216270,20.5,1,7,0.2,236.7,2.0
20090812,181943,30.203312,120.216270,20.5,1,7,0.1,201.8,2.0
20090812,181944,30.203312,120.216270,20.5,1,7,0.2,211.1,2.0
20090812,181945,30.203312,120.216270,20.5,1,7,0.3,214.1,2.0
20090812,181946,30.203312,120.216270,20.5,1,7,0.3,226.9,2.0
20090812,181947,30.203312,120.216270,20.5,1,6,0.2,195.1,2.2
20090812,181948,30.203312,120.216270,20.5,1,5,0.3,207.1,2.3
20090812,181949,30.203312,120.216270,20.5,1,5,0.2,213.2,2.3
20090812,181950,30.203312,120.216270,20.5,1,6,0.2,207.7,2.2
20090812,181951,30.203312,120.216270,20.5,1,5,0.3,205.9,2.3
20090812,181952,30.203312,120.216270,20.5,1,6,0.4,214.6,2.2
20090812,181953,30.203312,120.216270,20.5,1,6,0.2,210.1,2.2
